genome_id,genome_name,antibiotic,label
1280.10000,Staphylococcus aureus C00013237,ciprofloxacin,Resistant
1280.10000,Staphylococcus aureus C00013237,erythromycin,Resistant
1280.10000,Staphylococcus aureus C00013237,gentamicin,Susceptible
1280.10000,Staphylococcus aureus C00013237,tetracycline,Susceptible
1280.10001,Staphylococcus aureus C00013238,ciprofloxacin,Susceptible
1280.10001,Staphylococcus aureus C00013238,erythromycin,Susceptible
1280.10001,Staphylococcus aureus C00013238,gentamicin,Susceptible
1280.10001,Staphylococcus aureus C00013238,tetracycline,Susceptible
1280.10002,Staphylococcus aureus C00013241,ciprofloxacin,Susceptible
1280.10002,Staphylococcus aureus C00013241,erythromycin,Susceptible
1280.10002,Staphylococcus aureus C00013241,gentamicin,Susceptible
1280.10002,Staphylococcus aureus C00013241,tetracycline,Susceptible
1280.10003,Staphylococcus aureus C00013242,ciprofloxacin,Susceptible
1280.10003,Staphylococcus aureus C00013242,erythromycin,Susceptible
1280.10003,Staphylococcus aureus C00013242,gentamicin,Susceptible
1280.10003,Staphylococcus aureus C00013242,tetracycline,Susceptible
1280.10004,Staphylococcus aureus C00013244,ciprofloxacin,Susceptible
1280.10004,Staphylococcus aureus C00013244,erythromycin,Susceptible
1280.10004,Staphylococcus aureus C00013244,gentamicin,Susceptible
1280.10004,Staphylococcus aureus C00013244,tetracycline,Susceptible
1280.10008,Staphylococcus aureus C00013251,ciprofloxacin,Susceptible
1280.10008,Staphylococcus aureus C00013251,erythromycin,Susceptible
1280.10008,Staphylococcus aureus C00013251,gentamicin,Susceptible
1280.10008,Staphylococcus aureus C00013251,tetracycline,Susceptible
1280.10013,Staphylococcus aureus C00013327,ciprofloxacin,Susceptible
1280.10013,Staphylococcus aureus C00013327,erythromycin,Susceptible
1280.10013,Staphylococcus aureus C00013327,gentamicin,Susceptible
1280.10013,Staphylococcus aureus C00013327,tetracycline,Susceptible
1280.10016,Staphylococcus aureus C00013332,ciprofloxacin,Susceptible
1280.10016,Staphylococcus aureus C00013332,erythromycin,Susceptible
1280.10016,Staphylococcus aureus C00013332,gentamicin,Susceptible
