genome_id,genome_name,antibiotic,drug_class,final_label,n_lab_records,pubmed_ids,laboratory_typing_method,testing_standard
1280.10948,Staphylococcus aureus strain 3688STDY6124971,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.10994,Staphylococcus aureus strain 3688STDY6124848,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11011,Staphylococcus aureus strain 3688STDY6124900,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11024,Staphylococcus aureus strain 3688STDY6124922,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11026,Staphylococcus aureus strain 3688STDY6124923,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11029,Staphylococcus aureus strain 3688STDY6124926,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11030,Staphylococcus aureus strain 3688STDY6124927,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11031,Staphylococcus aureus strain 3688STDY6124929,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11032,Staphylococcus aureus strain 3688STDY6124930,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11033,Staphylococcus aureus strain 3688STDY6124931,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11036,Staphylococcus aureus strain 3688STDY6124933,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11037,Staphylococcus aureus strain 3688STDY6124934,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11038,Staphylococcus aureus strain 3688STDY6124935,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11039,Staphylococcus aureus strain 3688STDY6124936,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11040,Staphylococcus aureus strain 3688STDY6124937,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11042,Staphylococcus aureus strain 3688STDY6124878,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11043,Staphylococcus aureus strain 3688STDY6124939,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11049,Staphylococcus aureus strain 3688STDY6124949,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11050,Staphylococcus aureus strain 3688STDY6124879,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11054,Staphylococcus aureus strain 3688STDY6124957,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11118,Staphylococcus aureus strain 3688STDY6124966,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11150,Staphylococcus aureus strain 3688STDY6125057,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11151,Staphylococcus aureus strain 3688STDY6125107,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11152,Staphylococcus aureus strain 3688STDY6125053,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11153,Staphylococcus aureus strain 3688STDY6125103,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11154,Staphylococcus aureus strain 3688STDY6125102,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11155,Staphylococcus aureus strain 3688STDY6125058,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11156,Staphylococcus aureus strain 3688STDY6124951,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11157,Staphylococcus aureus strain 3688STDY6124950,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11158,Staphylococcus aureus strain 3688STDY6124948,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11159,Staphylococcus aureus strain 3688STDY6124940,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11160,Staphylococcus aureus strain 3688STDY6124928,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11161,Staphylococcus aureus strain 3688STDY6124876,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11162,Staphylococcus aureus strain 3688STDY6124918,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11164,Staphylococcus aureus strain 3688STDY6124909,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11165,Staphylococcus aureus strain 3688STDY6124896,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11166,Staphylococcus aureus strain 3688STDY6124894,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11167,Staphylococcus aureus strain 3688STDY6124893,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11168,Staphylococcus aureus strain 3688STDY6124892,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11169,Staphylococcus aureus strain 3688STDY6124891,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11170,Staphylococcus aureus strain 3688STDY6124882,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11171,Staphylococcus aureus strain 3688STDY6124883,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11172,Staphylococcus aureus strain 3688STDY6124881,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11173,Staphylococcus aureus strain 3688STDY6124871,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11174,Staphylococcus aureus strain 3688STDY6124867,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11175,Staphylococcus aureus strain 3688STDY6124853,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11176,Staphylococcus aureus strain 3688STDY6124856,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11177,Staphylococcus aureus strain 3688STDY6124851,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11178,Staphylococcus aureus strain 3688STDY6124846,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11179,Staphylococcus aureus strain 3688STDY6124842,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11180,Staphylococcus aureus strain 3688STDY6124828,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11181,Staphylococcus aureus strain 3688STDY6124839,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11182,Staphylococcus aureus strain 3688STDY6124822,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11183,Staphylococcus aureus strain 3688STDY6124816,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11184,Staphylococcus aureus strain 3688STDY6124813,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11185,Staphylococcus aureus strain 3688STDY6125044,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11186,Staphylococcus aureus strain 3688STDY6125040,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11187,Staphylococcus aureus strain 3688STDY6125030,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11188,Staphylococcus aureus strain 3688STDY6125028,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11189,Staphylococcus aureus strain 3688STDY6125021,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11190,Staphylococcus aureus strain 3688STDY6125017,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11191,Staphylococcus aureus strain 3688STDY6125002,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11192,Staphylococcus aureus strain 3688STDY6124994,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11193,Staphylococcus aureus strain 3688STDY6124991,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11194,Staphylococcus aureus strain 3688STDY6124985,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
