drug,tier,n_test,n_resistant,n_susceptible,auroc,pr_auc,balanced_accuracy,recall_resistant,recall_susceptible,f1,brier,no_call_rate,accuracy_on_called
erythromycin,A,551,173,378,0.9865278160075848,0.9585414428507814,0.9636510994892498,0.953757225433526,0.9735449735449735,0.9482758620689655,0.027377866231986833,0.02722323049001818,0.9776119402985075
ciprofloxacin,A,498,103,395,0.9866412682806931,0.9323771637247731,0.9430256851419443,0.941747572815534,0.9443037974683545,0.8738738738738738,0.03721817655962609,0.04016064257028118,0.9686192468619247
gentamicin,A,534,37,497,0.9911088150524769,0.8429299874906626,0.9514111697210289,0.918918918918919,0.9839034205231388,0.8607594936708861,0.01885345214180114,0.011235955056179803,0.9829545454545454
tetracycline,A,497,93,404,0.9810231023102312,0.9403708844015766,0.8494623655913979,0.6989247311827957,1.0,0.8227848101265823,0.03474315694457631,0.05030181086519114,0.9766949152542372
penicillin,A,483,446,37,0.879681250757484,0.9850880118784698,0.7931159859410981,0.8565022421524664,0.7297297297297297,0.9116945107398569,0.07184981866269707,0.15527950310559002,0.9436274509803921
fusidic_acid,A,360,29,331,0.9852588811334515,0.9282566653181346,0.9241066777789353,0.896551724137931,0.9516616314199395,0.7323943661971831,0.022257210607362233,0.047222222222222276,0.9912536443148688
clindamycin,A,355,127,228,0.9766369664318276,0.9578265701416869,0.9106920845420639,0.8740157480314961,0.9473684210526315,0.888,0.053598171262225006,0.05633802816901412,0.9492537313432836
cefoxitin,A,296,155,141,0.897254632807138,0.8956138004708483,0.8545412948981926,0.7870967741935484,0.9219858156028369,0.8472222222222222,0.12485290726853007,0.10135135135135132,0.8796992481203008
methicillin,A,266,45,221,0.9310206133735546,0.8453532492938094,0.8973353443941678,0.8444444444444444,0.9502262443438914,0.8085106382978723,0.06659269367186635,0.19172932330827064,0.9627906976744186
trimethoprim_sulfamethoxazole,A,259,66,193,0.9989009263620663,0.9968173164491106,0.9671062961218402,0.9393939393939394,0.9948186528497409,0.9612403100775194,0.01766674316191467,0.0038610038610038533,0.9806201550387597
oxacillin,A,288,101,187,0.9351935193519352,0.8889496749441244,0.8772171334780536,0.8613861386138614,0.893048128342246,0.8365384615384616,0.08997408982355927,0.01736111111111116,0.8939929328621908
chloramphenicol,A,243,17,226,0.9888079125455492,0.8898992184286303,0.8485163977095262,0.7058823529411765,0.9911504424778761,0.7741935483870968,0.024393221118541936,0.012345679012345734,0.9708333333333333
rifampin,B,359,4,355,0.9845070422535211,0.6276315789473684,0.625,0.25,1.0,0.4,0.007193011571136627,0.013927576601671321,0.9943502824858758
mupirocin,B,236,1,235,1.0,1.0,0.9978723404255319,1.0,0.9957446808510638,0.6666666666666666,0.004984844140902789,0.021186440677966156,1.0
daptomycin,B,204,11,193,0.7951012717852096,0.28917166858343335,0.7091380122468205,0.45454545454545453,0.9637305699481865,0.43478260869565216,0.05396375131943648,0.039215686274509776,0.9438775510204082
levofloxacin,B,35,1,34,1.0,1.0,0.9558823529411764,1.0,0.9117647058823529,0.4,0.08268794721424678,0.17142857142857137,0.9310344827586207
moxifloxacin,B,18,3,15,1.0,1.0,0.8,1.0,0.6,0.5,0.19893940167573765,0.5555555555555556,0.875
ceftaroline,B,13,2,11,0.8181818181818181,0.6666666666666666,0.7045454545454546,0.5,0.9090909090909091,0.5,0.10752202962798706,0.15384615384615385,0.9090909090909091
