bioproject_accession,biosample_accession,checkm_completeness,checkm_contamination,coarse_consistency,contig_l50,contig_n50,contigs,fine_consistency,genome_id,genome_length,genome_name,genome_quality,mlst,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,assembly_accession,collection_date,genome_quality_flags
PRJEB5261,SAMEA2340648,99.4,0.0,100.0,7,108790,47,99.9,1280.10000,2752320,Staphylococcus aureus C00013237,Good,MLST.saureus.22,2704,2704,2704,2704,2704,1216,17,,,
PRJEB5261,SAMEA2340649,100.0,0.0,100.0,5,210965,27,100.0,1280.10001,2800590,Staphylococcus aureus C00013238,Good,MLST.saureus.109,1199,1199,1199,1199,1199,1199,106,,,
PRJEB5261,SAMEA2340652,100.0,0.6,100.0,8,107917,50,99.9,1280.10002,2703853,Staphylococcus aureus C00013241,Good,MLST.saureus.22,2705,2705,2705,2705,2705,2705,2705,,,
PRJEB5261,SAMEA2340653,100.0,0.6,99.9,7,145130,43,99.7,1280.10003,2777140,Staphylococcus aureus C00013242,Good,MLST.saureus.39,2401,2401,2401,2401,2401,1031,1031,,,
PRJEB5261,SAMEA2340655,100.0,0.0,100.0,7,124217,41,99.9,1280.10004,2765219,Staphylococcus aureus C00013244,Good,MLST.saureus.15,2402,2402,2402,2402,2402,899,2,,,
PRJEB5261,SAMEA2340656,100.0,0.0,100.0,9,108117,48,99.9,1280.10005,2760633,Staphylococcus aureus C00013245,Good,MLST.saureus.15,3601,2402,2402,2402,2402,899,2,,,
PRJEB5261,SAMEA2340657,100.0,0.6,100.0,5,202009,29,100.0,1280.10006,2748704,Staphylococcus aureus C00013246,Good,MLST.saureus.1,1500,1500,1500,1500,1500,1500,1500,,,
PRJEB5261,SAMEA2340658,100.0,0.0,100.0,9,88700,54,99.9,1280.10007,2771356,Staphylococcus aureus C00013247,Good,MLST.saureus.22,2403,2403,2403,2403,1931,1216,17,,,
PRJEB5261,SAMEA2340662,100.0,0.6,100.0,3,265021,22,99.9,1280.10008,2777957,Staphylococcus aureus C00013251,Good,MLST.saureus.45,2099,2099,2099,2099,2099,2099,2099,,,
PRJEB5261,SAMEA2340663,100.0,0.6,99.9,9,136260,51,99.8,1280.10009,2846641,Staphylococcus aureus C00013313,Good,MLST.saureus.30,3602,3602,3602,3602,3602,3602,21,,,
PRJEB5261,SAMEA2340672,100.0,0.0,100.0,4,184800,30,99.8,1280.10010,2690569,Staphylococcus aureus C00013322,Good,MLST.saureus.45,3603,3603,3603,3603,3603,3603,2570,,,
PRJEB5261,SAMEA2340671,100.0,0.0,100.0,6,167687,30,100.0,1280.10011,2715465,Staphylococcus aureus C00013321,Good,MLST.saureus.5,2404,2404,2404,2404,2404,2404,2404,,,
PRJEB5261,SAMEA2340673,100.0,1.8,100.0,7,116621,48,99.9,1280.10012,2698455,Staphylococcus aureus C00013323,Good,MLST.saureus.59,2100,2100,2100,2100,2100,2100,2100,,,
PRJEB5261,SAMEA2340677,99.4,0.6,100.0,9,98423,52,99.7,1280.10013,2699275,Staphylococcus aureus C00013327,Good,MLST.saureus.22,3604,3604,3604,3604,3604,3604,2625,,,
PRJEB5261,SAMEA2340678,100.0,0.0,100.0,6,205764,40,100.0,1280.10014,2838629,Staphylococcus aureus C00013328,Good,MLST.saureus.8,3001,3001,3001,3001,3001,3001,2329,,,
