genome_id,mlst_group,cluster,is_representative,partition
1413431.3,ST9,hc10:7142,True,test
1280.51831,ST22,hc10:6002,True,train
1280.15927,ST5,hc10:5841,True,train
1280.9803,ST22,hc10:3837,True,train
1280.9930,ST8,hc10:3859,True,train
1280.15880,ST250,hc10:5614,True,train
1280.51871,ST22,hc10:6048,True,train
1280.51867,ST225,hc10:6044,True,calibration
1422473.3,ST398,hc10:19118,True,train
1280.51817,ST8,hc10:5980,True,train
1422479.3,ST398,hc10:19120,True,train
1280.51812,ST22,hc10:5993,True,train
1280.9330,ST239,hc10:19438,True,train
1280.4960,ST8,hc10:6771,True,train
1280.51891,ST5,hc10:6065,True,train
1280.51791,ST225,hc10:5974,True,calibration
1280.51837,ST225,hc10:6016,True,calibration
1280.51799,ST225,hc10:5982,True,calibration
1280.9359,ST239,hc10:19061,True,train
1422401.3,ST398,hc10:19643,True,train
1280.51741,ST8,hc10:5935,True,train
1280.51922,ST7,hc10:6094,True,test
1280.15905,ST152,hc10:5829,True,test
1280.51777,ST15,hc10:5963,True,train
1280.51749,ST8,hc10:5943,True,train
1280.51786,ST8,hc10:5969,True,train
1280.51865,ST22,hc10:6042,True,train
1280.51790,ST8,hc10:5973,True,train
1280.39473,ST5,hc10:4837,True,train
1280.4980,ST8,hc10:6779,True,train
1280.51836,ST225,hc10:6015,True,calibration
1280.51889,ST225,hc10:6063,True,calibration
1280.51772,ST4410,hc10:5958,True,calibration
1280.51766,ST8,hc10:5952,True,train
1280.16773,ST9,hc10:15688,True,test
1280.4931,ST8,hc10:12218,True,train
1280.51787,ST22,hc10:5970,True,train
1280.4923,ST1,hc10:6757,True,train
1280.16763,ST239,hc10:5364,True,train
1280.51830,ST22,hc10:6009,True,train
1280.26063,ST1,hc10:37,True,train
1280.51798,ST5,hc10:5981,True,train
1280.4944,ST8,hc10:6766,True,train
1280.15888,ST250,hc10:5618,True,train
1280.26018,ST1,hc10:12,True,train
1280.4989,ST8,hc10:6783,True,train
1280.39474,ST5,hc10:4838,True,train
1280.15903,ST152,hc10:5624,True,test
1280.51868,ST22,hc10:6045,True,train
1422436.3,ST398,hc10:19654,True,train
1280.25979,ST1,hc10:632,True,train
1280.51815,ST225,hc10:5996,True,calibration
1280.29842,ST5,hc10:14920,True,train
1280.51919,ST45,hc10:6091,True,calibration
1280.25994,ST5,hc10:645,True,train
1280.15865,ST15,hc10:5606,True,train
1280.15895,ST152,hc10:5826,True,test
1280.15912,ST45,hc10:5834,True,calibration
1280.51813,ST22,hc10:5994,True,train
1280.51856,ST225,hc10:6033,True,calibration
1280.39459,ST1,hc10:4823,True,train
1280.9323,ST239,hc10:19435,True,train
1280.9304,ST22,hc10:19392,True,train
1280.51825,ST225,hc10:6005,True,calibration
1280.51824,ST225,hc10:6004,True,calibration
1280.7356,ST239,hc10:19572,True,train
1280.51855,ST225,hc10:6032,True,calibration
1280.51879,ST22,hc10:6053,True,train
1280.9307,ST22,hc10:19040,True,train
1280.15894,ST3251,hc10:5619,True,test
1280.4942,ST508,hc10:6765,True,calibration
1280.9361,ST239,hc10:19444,True,train
1422613.3,ST398,hc10:19086,True,train
1422471.3,ST398,hc10:19116,True,train
1280.4969,ST5,hc10:12236,True,train
1280.19786,ST8,hc10:3323,True,train
1280.15931,ST8,hc10:1843,True,train
1280.25976,ST15,hc10:629,True,train
1413446.3,ST398,hc10:6839,True,train
1280.51858,ST225,hc10:6035,True,calibration
1280.9777,ST1,hc10:1081,True,train
1280.15899,ST250,hc10:5349,True,train
1280.51901,ST228,hc10:6073,True,train
1280.7392,ST1,hc10:2514,True,train
1422593.3,ST398,hc10:19131,True,train
1280.51814,ST22,hc10:5995,True,train
1280.51785,ST22,hc10:5968,True,train
1280.9356,ST1531,hc10:19060,True,train
1422733.3,ST398,hc10:19775,True,train
1280.10022,ST8,hc10:3002,True,train
1422620.3,ST398,hc10:19194,True,train
1280.51832,ST22,hc10:6011,True,train
1280.15886,ST250,hc10:5617,True,train
1280.15929,ST508,hc10:5843,True,calibration
1280.4919,ST8,hc10:6755,True,train
1280.51775,ST7,hc10:5961,True,test
1280.9854,ST3448,hc10:1089,True,train
1280.15878,ST8,hc10:5613,True,train
1280.15923,ST1,hc10:5838,True,train
1422684.3,ST3356,hc10:16342,True,calibration
1280.39456,ST5,hc10:4820,True,train
1280.51751,ST4411,hc10:5945,True,calibration
1280.15883,ST2021,hc10:5616,True,calibration
1280.15889,ST250,hc10:5821,True,train
1280.51792,ST225,hc10:5975,True,calibration
1413596.3,ST398,hc10:6871,True,train
1280.39465,ST5,hc10:4829,True,train
1280.10045,ST8,hc10:3610,True,train
1280.51752,ST398,hc10:5946,True,train
1280.51872,ST241,hc10:6049,True,test
1280.15924,ST121,hc10:5836,True,train
1422736.3,ST398,hc10:16348,True,train
1280.51869,ST22,hc10:6040,True,train
1280.51829,ST22,hc10:6008,True,train
1422565.3,ST398,hc10:19153,True,train
1422491.3,ST398,hc10:19677,True,train
1280.10006,ST1,hc10:1500,True,train
