genome_id,genome_name,genome_length,contigs,checkm_completeness,checkm_contamination,genome_quality,qc_pass,mlst,cgmlst_hc10,genetic_group,split,assembly_accession,biosample_accession,bioproject_accession
1280.10000,Staphylococcus aureus C00013237,2752320,47,99.4,0.0,Good,True,MLST.saureus.22,2704,cgmlst_hc10:2704,train,,SAMEA2340648,PRJEB5261
1280.10001,Staphylococcus aureus C00013238,2800590,27,100.0,0.0,Good,True,MLST.saureus.109,1199,cgmlst_hc10:1199,train,,SAMEA2340649,PRJEB5261
1280.10002,Staphylococcus aureus C00013241,2703853,50,100.0,0.6,Good,True,MLST.saureus.22,2705,cgmlst_hc10:2705,calibration,,SAMEA2340652,PRJEB5261
1280.10003,Staphylococcus aureus C00013242,2777140,43,100.0,0.6,Good,True,MLST.saureus.39,2401,cgmlst_hc10:2401,train,,SAMEA2340653,PRJEB5261
1280.10004,Staphylococcus aureus C00013244,2765219,41,100.0,0.0,Good,True,MLST.saureus.15,2402,cgmlst_hc10:2402,train,,SAMEA2340655,PRJEB5261
1280.10005,Staphylococcus aureus C00013245,2760633,48,100.0,0.0,Good,True,MLST.saureus.15,2402,cgmlst_hc10:2402,train,,SAMEA2340656,PRJEB5261
1280.10006,Staphylococcus aureus C00013246,2748704,29,100.0,0.6,Good,True,MLST.saureus.1,1500,cgmlst_hc10:1500,train,,SAMEA2340657,PRJEB5261
1280.10007,Staphylococcus aureus C00013247,2771356,54,100.0,0.0,Good,True,MLST.saureus.22,2403,cgmlst_hc10:2403,train,,SAMEA2340658,PRJEB5261
1280.10008,Staphylococcus aureus C00013251,2777957,22,100.0,0.6,Good,True,MLST.saureus.45,2099,cgmlst_hc10:2099,train,,SAMEA2340662,PRJEB5261
1280.10009,Staphylococcus aureus C00013313,2846641,51,100.0,0.6,Good,True,MLST.saureus.30,3602,cgmlst_hc10:3602,train,,SAMEA2340663,PRJEB5261
1280.10010,Staphylococcus aureus C00013322,2690569,30,100.0,0.0,Good,True,MLST.saureus.45,3603,cgmlst_hc10:3603,train,,SAMEA2340672,PRJEB5261
1280.10011,Staphylococcus aureus C00013321,2715465,30,100.0,0.0,Good,True,MLST.saureus.5,2404,cgmlst_hc10:2404,train,,SAMEA2340671,PRJEB5261
1280.10012,Staphylococcus aureus C00013323,2698455,48,100.0,1.8,Good,True,MLST.saureus.59,2100,cgmlst_hc10:2100,train,,SAMEA2340673,PRJEB5261
1280.10013,Staphylococcus aureus C00013327,2699275,52,99.4,0.6,Good,True,MLST.saureus.22,3604,cgmlst_hc10:3604,train,,SAMEA2340677,PRJEB5261
1280.10014,Staphylococcus aureus C00013328,2838629,40,100.0,0.0,Good,True,MLST.saureus.8,3001,cgmlst_hc10:3001,train,,SAMEA2340678,PRJEB5261
1280.10015,Staphylococcus aureus C00013329,2674004,22,100.0,0.0,Good,True,MLST.saureus.12,2405,cgmlst_hc10:2405,train,,SAMEA2340679,PRJEB5261
1280.10016,Staphylococcus aureus C00013332,2749375,32,100.0,0.0,Good,True,MLST.saureus.8,2706,cgmlst_hc10:2706,calibration,,SAMEA2340682,PRJEB5261
1280.10017,Staphylococcus aureus C00013333,2739783,50,100.0,0.0,Good,True,MLST.saureus.59,1501,cgmlst_hc10:1501,hidden_test,,SAMEA2340683,PRJEB5261
1280.10018,Staphylococcus aureus C00013334,2745075,41,100.0,0.0,Good,True,MLST.saureus.1535,899,cgmlst_hc10:899,calibration,,SAMEA2340684,PRJEB5261
1280.10019,Staphylococcus aureus C00013335,2795683,31,100.0,0.0,Good,True,MLST.saureus.8,2707,cgmlst_hc10:2707,train,,SAMEA2340685,PRJEB5261
1280.10020,Staphylococcus aureus C00013339,2712533,45,99.4,0.0,Good,True,MLST.saureus.22,2406,cgmlst_hc10:2406,train,,SAMEA2340689,PRJEB5261
1280.10021,Staphylococcus aureus C00013342,2758207,36,100.0,0.0,Good,True,MLST.saureus.5,1798,cgmlst_hc10:1798,train,,SAMEA2340692,PRJEB5261
1280.10022,Staphylococcus aureus C00013343,2748733,37,100.0,0.6,Good,True,MLST.saureus.8,3002,cgmlst_hc10:3002,train,,SAMEA2340693,PRJEB5261
1280.10023,Staphylococcus aureus C00013347,2712679,54,99.4,0.0,Good,True,MLST.saureus.22,900,cgmlst_hc10:900,hidden_test,,SAMEA2340697,PRJEB5261
1280.10024,Staphylococcus aureus C00013350,2763790,39,100.0,0.0,Good,True,MLST.saureus.425,2347,cgmlst_hc10:2347,train,,SAMEA2340700,PRJEB5261
1280.10025,Staphylococcus aureus C00013351,2752506,33,100.0,0.0,Good,True,MLST.saureus.8,2407,cgmlst_hc10:2407,hidden_test,,SAMEA2340701,PRJEB5261
1280.10026,Staphylococcus aureus C00013357,2698401,47,100.0,1.8,Good,True,MLST.saureus.59,2100,cgmlst_hc10:2100,train,,SAMEA2340707,PRJEB5261
1280.10027,Staphylococcus aureus C00013358,2753121,31,100.0,0.0,Good,True,MLST.saureus.8,2407,cgmlst_hc10:2407,hidden_test,,SAMEA2340708,PRJEB5261
1280.10028,Staphylococcus aureus C00013359,2712488,40,100.0,0.0,Good,True,MLST.saureus.72,2409,cgmlst_hc10:2409,hidden_test,,SAMEA2340709,PRJEB5261
1280.10029,Staphylococcus aureus C00013363,2730313,30,100.0,0.0,Good,True,MLST.saureus.45,901,cgmlst_hc10:901,train,,SAMEA2340713,PRJEB5261
1280.10030,Staphylococcus aureus C00013367,2739685,30,100.0,0.0,Good,True,MLST.saureus.1,2708,cgmlst_hc10:2708,train,,SAMEA2340717,PRJEB5261
1280.10031,Staphylococcus aureus C00013364,2731957,31,100.0,0.0,Good,True,MLST.saureus.45,901,cgmlst_hc10:901,train,,SAMEA2340714,PRJEB5261
1280.10032,Staphylococcus aureus C00013371,2734895,63,100.0,0.0,Good,True,MLST.saureus.22,2410,cgmlst_hc10:2410,train,,SAMEA2340721,PRJEB5261
1280.10033,Staphylococcus aureus C00013373,2699724,27,100.0,0.0,Good,True,MLST.saureus.54,2411,cgmlst_hc10:2411,train,,SAMEA2340723,PRJEB5261
1280.10034,Staphylococcus aureus C00013374,2709991,45,100.0,0.0,Good,True,MLST.saureus.3448,2709,cgmlst_hc10:2709,calibration,,SAMEA2340724,PRJEB5261
1280.10035,Staphylococcus aureus C00013376,2815429,31,100.0,0.6,Good,True,MLST.saureus.1,902,cgmlst_hc10:902,train,,SAMEA2340726,PRJEB5261
1280.10036,Staphylococcus aureus C00013377,2793998,40,100.0,0.6,Good,True,MLST.saureus.39,2345,cgmlst_hc10:2345,train,,SAMEA2340727,PRJEB5261
1280.10037,Staphylococcus aureus C00013382,2756741,20,100.0,0.0,Good,True,MLST.saureus.45,3607,cgmlst_hc10:3607,train,,SAMEA2340732,PRJEB5261
1280.10038,Staphylococcus aureus C00013384,2718730,37,100.0,1.2,Good,True,MLST.saureus.15,3608,cgmlst_hc10:3608,train,,SAMEA2340734,PRJEB5261
1280.10039,Staphylococcus aureus C00013388,2846595,53,100.0,0.0,Good,True,MLST.saureus.34,3609,cgmlst_hc10:3609,train,,SAMEA2340738,PRJEB5261
1280.10040,Staphylococcus aureus C00013390,2702949,51,100.0,0.0,Good,True,MLST.saureus.59,2044,cgmlst_hc10:2044,train,,SAMEA2340740,PRJEB5261
1280.10041,Staphylococcus aureus C00013391,2714191,49,100.0,0.0,Good,True,MLST.saureus.291,3003,cgmlst_hc10:3003,train,,SAMEA2340741,PRJEB5261
1280.10042,Staphylococcus aureus C00013393,2795917,29,100.0,0.0,Good,True,MLST.saureus.1,1503,cgmlst_hc10:1503,train,,SAMEA2340743,PRJEB5261
1280.10043,Staphylococcus aureus C00013394,2710623,36,100.0,0.0,Good,True,MLST.saureus.15,2712,cgmlst_hc10:2712,calibration,,SAMEA2340744,PRJEB5261
1280.10044,Staphylococcus aureus C00013395,2748093,38,100.0,0.0,Good,True,MLST.saureus.15,2412,cgmlst_hc10:2412,calibration,,SAMEA2340745,PRJEB5261
1280.10045,Staphylococcus aureus C00013396,2817009,40,100.0,1.2,Good,True,MLST.saureus.8,3610,cgmlst_hc10:3610,calibration,,SAMEA2340746,PRJEB5261
1280.10046,Staphylococcus aureus C00013402,2730822,37,100.0,0.6,Good,True,MLST.saureus.88,2713,cgmlst_hc10:2713,hidden_test,,SAMEA2340752,PRJEB5261
1280.10047,Staphylococcus aureus C00013404,2824385,48,100.0,0.0,Good,True,MLST.saureus.30,1200,cgmlst_hc10:1200,calibration,,SAMEA2340754,PRJEB5261
1280.10048,Staphylococcus aureus C00013406,2718559,27,100.0,0.0,Good,True,MLST.saureus.12,1201,cgmlst_hc10:1201,calibration,,SAMEA2340756,PRJEB5261
1280.10049,Staphylococcus aureus C00013408,2721152,27,100.0,0.0,Good,True,MLST.saureus.3446,3611,cgmlst_hc10:3611,train,,SAMEA2340758,PRJEB5261
1280.10948,Staphylococcus aureus strain 3688STDY6124971,2825564,29,100.0,0.0,Good,True,MLST.saureus.1156,7269,cgmlst_hc10:7269,train,GCF_900124655.1,SAMEA3448981,PRJEB9575
1280.10994,Staphylococcus aureus strain 3688STDY6124848,2852478,64,100.0,0.6,Good,True,MLST.saureus.121,6966,cgmlst_hc10:6966,train,GCF_900125645.1,SAMEA3448869,PRJEB9575
1280.11011,Staphylococcus aureus strain 3688STDY6124900,2808879,30,100.0,0.0,Good,True,MLST.saureus.121,6651,cgmlst_hc10:6651,calibration,GCF_900125955.1,SAMEA3448911,PRJEB9575
1280.11024,Staphylococcus aureus strain 3688STDY6124922,2757615,15,100.0,0.0,Good,True,MLST.saureus.7,6967,cgmlst_hc10:6967,train,GCF_900126155.1,SAMEA3448932,PRJEB9575
1280.11026,Staphylococcus aureus strain 3688STDY6124923,2773120,35,100.0,0.0,Good,True,MLST.saureus.5,6968,cgmlst_hc10:6968,train,GCF_900126165.1,SAMEA3448933,PRJEB9575
