genome_id,genome_name,species,mlst,cgmlst_hc10,genome_length,contigs,genome_quality,checkm_completeness,checkm_contamination
1280.10000,Staphylococcus aureus C00013237,Staphylococcus aureus,MLST.saureus.22,2704,2752320,47,Good,99.4,0
1280.10001,Staphylococcus aureus C00013238,Staphylococcus aureus,MLST.saureus.109,1199,2800590,27,Good,100,0
1280.10002,Staphylococcus aureus C00013241,Staphylococcus aureus,MLST.saureus.22,2705,2703853,50,Good,100,0.6
1280.10003,Staphylococcus aureus C00013242,Staphylococcus aureus,MLST.saureus.39,2401,2777140,43,Good,100,0.6
1280.10004,Staphylococcus aureus C00013244,Staphylococcus aureus,MLST.saureus.15,2402,2765219,41,Good,100,0
1280.10005,Staphylococcus aureus C00013245,Staphylococcus aureus,MLST.saureus.15,2402,2760633,48,Good,100,0
1280.10006,Staphylococcus aureus C00013246,Staphylococcus aureus,MLST.saureus.1,1500,2748704,29,Good,100,0.6
1280.10007,Staphylococcus aureus C00013247,Staphylococcus aureus,MLST.saureus.22,2403,2771356,54,Good,100,0
1280.10008,Staphylococcus aureus C00013251,Staphylococcus aureus,MLST.saureus.45,2099,2777957,22,Good,100,0.6
1280.10009,Staphylococcus aureus C00013313,Staphylococcus aureus,MLST.saureus.30,3602,2846641,51,Good,100,0.6
1280.10010,Staphylococcus aureus C00013322,Staphylococcus aureus,MLST.saureus.45,3603,2690569,30,Good,100,0
1280.10011,Staphylococcus aureus C00013321,Staphylococcus aureus,MLST.saureus.5,2404,2715465,30,Good,100,0
1280.10012,Staphylococcus aureus C00013323,Staphylococcus aureus,MLST.saureus.59,2100,2698455,48,Good,100,1.8
1280.10013,Staphylococcus aureus C00013327,Staphylococcus aureus,MLST.saureus.22,3604,2699275,52,Good,99.4,0.6
1280.10014,Staphylococcus aureus C00013328,Staphylococcus aureus,MLST.saureus.8,3001,2838629,40,Good,100,0
1280.10015,Staphylococcus aureus C00013329,Staphylococcus aureus,MLST.saureus.12,2405,2674004,22,Good,100,0
1280.10016,Staphylococcus aureus C00013332,Staphylococcus aureus,MLST.saureus.8,2706,2749375,32,Good,100,0
1280.10017,Staphylococcus aureus C00013333,Staphylococcus aureus,MLST.saureus.59,1501,2739783,50,Good,100,0
1280.10018,Staphylococcus aureus C00013334,Staphylococcus aureus,MLST.saureus.1535,899,2745075,41,Good,100,0
1280.10019,Staphylococcus aureus C00013335,Staphylococcus aureus,MLST.saureus.8,2707,2795683,31,Good,100,0
1280.10020,Staphylococcus aureus C00013339,Staphylococcus aureus,MLST.saureus.22,2406,2712533,45,Good,99.4,0
1280.10021,Staphylococcus aureus C00013342,Staphylococcus aureus,MLST.saureus.5,1798,2758207,36,Good,100,0
1280.10022,Staphylococcus aureus C00013343,Staphylococcus aureus,MLST.saureus.8,3002,2748733,37,Good,100,0.6
1280.10023,Staphylococcus aureus C00013347,Staphylococcus aureus,MLST.saureus.22,900,2712679,54,Good,99.4,0
1280.10024,Staphylococcus aureus C00013350,Staphylococcus aureus,MLST.saureus.425,2347,2763790,39,Good,100,0
1280.10025,Staphylococcus aureus C00013351,Staphylococcus aureus,MLST.saureus.8,2407,2752506,33,Good,100,0
1280.10026,Staphylococcus aureus C00013357,Staphylococcus aureus,MLST.saureus.59,2100,2698401,47,Good,100,1.8
1280.10027,Staphylococcus aureus C00013358,Staphylococcus aureus,MLST.saureus.8,2407,2753121,31,Good,100,0
1280.10028,Staphylococcus aureus C00013359,Staphylococcus aureus,MLST.saureus.72,2409,2712488,40,Good,100,0
1280.10029,Staphylococcus aureus C00013363,Staphylococcus aureus,MLST.saureus.45,901,2730313,30,Good,100,0
1280.10030,Staphylococcus aureus C00013367,Staphylococcus aureus,MLST.saureus.1,2708,2739685,30,Good,100,0
1280.10031,Staphylococcus aureus C00013364,Staphylococcus aureus,MLST.saureus.45,901,2731957,31,Good,100,0
1280.10032,Staphylococcus aureus C00013371,Staphylococcus aureus,MLST.saureus.22,2410,2734895,63,Good,100,0
1280.10033,Staphylococcus aureus C00013373,Staphylococcus aureus,MLST.saureus.54,2411,2699724,27,Good,100,0
1280.10034,Staphylococcus aureus C00013374,Staphylococcus aureus,MLST.saureus.3448,2709,2709991,45,Good,100,0
1280.10035,Staphylococcus aureus C00013376,Staphylococcus aureus,MLST.saureus.1,902,2815429,31,Good,100,0.6
1280.10036,Staphylococcus aureus C00013377,Staphylococcus aureus,MLST.saureus.39,2345,2793998,40,Good,100,0.6
1280.10037,Staphylococcus aureus C00013382,Staphylococcus aureus,MLST.saureus.45,3607,2756741,20,Good,100,0
1280.10038,Staphylococcus aureus C00013384,Staphylococcus aureus,MLST.saureus.15,3608,2718730,37,Good,100,1.2
1280.10039,Staphylococcus aureus C00013388,Staphylococcus aureus,MLST.saureus.34,3609,2846595,53,Good,100,0
1280.10040,Staphylococcus aureus C00013390,Staphylococcus aureus,MLST.saureus.59,2044,2702949,51,Good,100,0
1280.10041,Staphylococcus aureus C00013391,Staphylococcus aureus,MLST.saureus.291,3003,2714191,49,Good,100,0
1280.10042,Staphylococcus aureus C00013393,Staphylococcus aureus,MLST.saureus.1,1503,2795917,29,Good,100,0
1280.10043,Staphylococcus aureus C00013394,Staphylococcus aureus,MLST.saureus.15,2712,2710623,36,Good,100,0
1280.10044,Staphylococcus aureus C00013395,Staphylococcus aureus,MLST.saureus.15,2412,2748093,38,Good,100,0
1280.10045,Staphylococcus aureus C00013396,Staphylococcus aureus,MLST.saureus.8,3610,2817009,40,Good,100,1.2
1280.10046,Staphylococcus aureus C00013402,Staphylococcus aureus,MLST.saureus.88,2713,2730822,37,Good,100,0.6
1280.10047,Staphylococcus aureus C00013404,Staphylococcus aureus,MLST.saureus.30,1200,2824385,48,Good,100,0
1280.10048,Staphylococcus aureus C00013406,Staphylococcus aureus,MLST.saureus.12,1201,2718559,27,Good,100,0
1280.10049,Staphylococcus aureus C00013408,Staphylococcus aureus,MLST.saureus.3446,3611,2721152,27,Good,100,0
