genome_id,genome_name,cluster,cluster_size
1280.10000,Staphylococcus aureus C00013237,hc10:2704,1
1280.10001,Staphylococcus aureus C00013238,hc10:1199,1
1280.10002,Staphylococcus aureus C00013241,hc10:2705,1
1280.10003,Staphylococcus aureus C00013242,hc10:2401,1
1280.10004,Staphylococcus aureus C00013244,hc10:2402,2
1280.10006,Staphylococcus aureus C00013246,hc10:1500,1
1280.10007,Staphylococcus aureus C00013247,hc10:2403,1
1280.10008,Staphylococcus aureus C00013251,hc10:2099,1
1280.10009,Staphylococcus aureus C00013313,hc10:3602,1
1280.10010,Staphylococcus aureus C00013322,hc10:3603,1
1280.10011,Staphylococcus aureus C00013321,hc10:2404,1
1280.10013,Staphylococcus aureus C00013327,hc10:3604,1
1280.10014,Staphylococcus aureus C00013328,hc10:3001,1
1280.10015,Staphylococcus aureus C00013329,hc10:2405,1
1280.10016,Staphylococcus aureus C00013332,hc10:2706,1
1280.10017,Staphylococcus aureus C00013333,hc10:1501,1
1280.10018,Staphylococcus aureus C00013334,hc10:899,1
1280.10019,Staphylococcus aureus C00013335,hc10:2707,1
1280.10020,Staphylococcus aureus C00013339,hc10:2406,1
1280.10021,Staphylococcus aureus C00013342,hc10:1798,1
1280.10022,Staphylococcus aureus C00013343,hc10:3002,1
1280.10023,Staphylococcus aureus C00013347,hc10:900,1
1280.10026,Staphylococcus aureus C00013357,hc10:2100,2
1280.10027,Staphylococcus aureus C00013358,hc10:2407,2
1280.10028,Staphylococcus aureus C00013359,hc10:2409,1
1280.10029,Staphylococcus aureus C00013363,hc10:901,2
1280.10030,Staphylococcus aureus C00013367,hc10:2708,1
1280.10032,Staphylococcus aureus C00013371,hc10:2410,1
1280.10033,Staphylococcus aureus C00013373,hc10:2411,1
1280.10034,Staphylococcus aureus C00013374,hc10:2709,1
1280.10035,Staphylococcus aureus C00013376,hc10:902,1
1280.10037,Staphylococcus aureus C00013382,hc10:3607,1
1280.10038,Staphylococcus aureus C00013384,hc10:3608,1
1280.10039,Staphylococcus aureus C00013388,hc10:3609,1
1280.10041,Staphylococcus aureus C00013391,hc10:3003,1
1280.10042,Staphylococcus aureus C00013393,hc10:1503,1
1280.10043,Staphylococcus aureus C00013394,hc10:2712,1
1280.10044,Staphylococcus aureus C00013395,hc10:2412,3
1280.10045,Staphylococcus aureus C00013396,hc10:3610,1
1280.10046,Staphylococcus aureus C00013402,hc10:2713,1
1280.10047,Staphylococcus aureus C00013404,hc10:1200,1
1280.10048,Staphylococcus aureus C00013406,hc10:1201,1
1280.10049,Staphylococcus aureus C00013408,hc10:3611,1
1280.10948,Staphylococcus aureus strain 3688STDY6124971,hc10:7269,1
1280.10994,Staphylococcus aureus strain 3688STDY6124848,hc10:6966,1
