genome_id,genome_name,species,cluster,cluster_size,genome_length,n_contigs,file,status
1280.10000,Staphylococcus aureus C00013237,Staphylococcus aureus,hc10:2704,1,2752320,47,genomes/1280.10000.fna,ok
1280.10001,Staphylococcus aureus C00013238,Staphylococcus aureus,hc10:1199,1,2800590,27,genomes/1280.10001.fna,ok
1280.10002,Staphylococcus aureus C00013241,Staphylococcus aureus,hc10:2705,1,2703853,50,genomes/1280.10002.fna,ok
1280.10003,Staphylococcus aureus C00013242,Staphylococcus aureus,hc10:2401,1,2777140,43,genomes/1280.10003.fna,ok
1280.10004,Staphylococcus aureus C00013244,Staphylococcus aureus,hc10:2402,2,2765219,41,genomes/1280.10004.fna,ok
1280.10006,Staphylococcus aureus C00013246,Staphylococcus aureus,hc10:1500,1,2748704,29,genomes/1280.10006.fna,ok
1280.10007,Staphylococcus aureus C00013247,Staphylococcus aureus,hc10:2403,1,2771356,54,genomes/1280.10007.fna,ok
1280.10008,Staphylococcus aureus C00013251,Staphylococcus aureus,hc10:2099,1,2777957,22,genomes/1280.10008.fna,ok
1280.10009,Staphylococcus aureus C00013313,Staphylococcus aureus,hc10:3602,1,2846641,51,genomes/1280.10009.fna,ok
1280.10010,Staphylococcus aureus C00013322,Staphylococcus aureus,hc10:3603,1,2690569,30,genomes/1280.10010.fna,ok
1280.10011,Staphylococcus aureus C00013321,Staphylococcus aureus,hc10:2404,1,2715465,30,genomes/1280.10011.fna,ok
1280.10013,Staphylococcus aureus C00013327,Staphylococcus aureus,hc10:3604,1,2699275,52,genomes/1280.10013.fna,ok
1280.10014,Staphylococcus aureus C00013328,Staphylococcus aureus,hc10:3001,1,2838629,40,genomes/1280.10014.fna,ok
1280.10015,Staphylococcus aureus C00013329,Staphylococcus aureus,hc10:2405,1,2674004,22,genomes/1280.10015.fna,ok
1280.10016,Staphylococcus aureus C00013332,Staphylococcus aureus,hc10:2706,1,2749375,32,genomes/1280.10016.fna,ok
1280.10017,Staphylococcus aureus C00013333,Staphylococcus aureus,hc10:1501,1,2739783,50,genomes/1280.10017.fna,ok
1280.10018,Staphylococcus aureus C00013334,Staphylococcus aureus,hc10:899,1,2745075,41,genomes/1280.10018.fna,ok
1280.10019,Staphylococcus aureus C00013335,Staphylococcus aureus,hc10:2707,1,2795683,31,genomes/1280.10019.fna,ok
1280.10020,Staphylococcus aureus C00013339,Staphylococcus aureus,hc10:2406,1,2712533,45,genomes/1280.10020.fna,ok
1280.10021,Staphylococcus aureus C00013342,Staphylococcus aureus,hc10:1798,1,2758207,36,genomes/1280.10021.fna,ok
1280.10022,Staphylococcus aureus C00013343,Staphylococcus aureus,hc10:3002,1,2748733,37,genomes/1280.10022.fna,ok
1280.10023,Staphylococcus aureus C00013347,Staphylococcus aureus,hc10:900,1,2712679,54,genomes/1280.10023.fna,ok
1280.10026,Staphylococcus aureus C00013357,Staphylococcus aureus,hc10:2100,2,2698401,47,genomes/1280.10026.fna,ok
1280.10027,Staphylococcus aureus C00013358,Staphylococcus aureus,hc10:2407,2,2753121,31,genomes/1280.10027.fna,ok
1280.10028,Staphylococcus aureus C00013359,Staphylococcus aureus,hc10:2409,1,2712488,40,genomes/1280.10028.fna,ok
1280.10029,Staphylococcus aureus C00013363,Staphylococcus aureus,hc10:901,2,2730313,30,genomes/1280.10029.fna,ok
1280.10030,Staphylococcus aureus C00013367,Staphylococcus aureus,hc10:2708,1,2739685,30,genomes/1280.10030.fna,ok
1280.10032,Staphylococcus aureus C00013371,Staphylococcus aureus,hc10:2410,1,2734895,63,genomes/1280.10032.fna,ok
1280.10033,Staphylococcus aureus C00013373,Staphylococcus aureus,hc10:2411,1,2699724,27,genomes/1280.10033.fna,ok
1280.10034,Staphylococcus aureus C00013374,Staphylococcus aureus,hc10:2709,1,2709991,45,genomes/1280.10034.fna,ok
1280.10035,Staphylococcus aureus C00013376,Staphylococcus aureus,hc10:902,1,2815429,31,genomes/1280.10035.fna,ok
1280.10037,Staphylococcus aureus C00013382,Staphylococcus aureus,hc10:3607,1,2756741,20,genomes/1280.10037.fna,ok
1280.10038,Staphylococcus aureus C00013384,Staphylococcus aureus,hc10:3608,1,2718730,37,genomes/1280.10038.fna,ok
1280.10039,Staphylococcus aureus C00013388,Staphylococcus aureus,hc10:3609,1,2846595,53,genomes/1280.10039.fna,ok
1280.10041,Staphylococcus aureus C00013391,Staphylococcus aureus,hc10:3003,1,2714191,49,genomes/1280.10041.fna,ok
1280.10042,Staphylococcus aureus C00013393,Staphylococcus aureus,hc10:1503,1,2795917,29,genomes/1280.10042.fna,ok
